,Unnamed: 0,Unnamed: 0.1,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_02_Place,G_02_Points,G_03_Place,G_03_Points,G_04_Place,G_04_Points,G_05_Place,G_05_Points,G_06_Place,G_06_Points,G_07_Place,G_07_Points,G_08_Place,G_08_Points,G_09_Place,G_09_Points,G_10_Place,G_10_Points,G_11_Place,G_11_Points,G_12_Place,G_12_Points,G_13_Place,G_13_Points,G_14_Place,G_14_Points,G_15_Place,G_15_Points,Games_Finish,Year,Games_Score,Games_Place,G_01_Score,G_02_Score,G_03_Score,G_04_Score,G_05_Score,G_06_Score,G_07_Score,G_08_Score,G_09_Score,G_10_Score,G_11_Score,G_12_Score,G_13_Score,G_14_Score,G_15_Score,G_Ov_n,G_OpenScore,G_01n,G_02n,G_03n,G_04n,G_05n,G_06n,G_07n,G_08n,G_09n,G_10n,G_11n,G_12n,G_13n,G_14n,G_15n,G_OpenPlace,G_Top40,G_Ranch,G_Beach,G_Special,G_Soccer,G_Tennis,R_Place,Regional,R_OpenScore,R_OpenPlace,R_01n,R_02n,R_03n,R_04n,R_05n,R_06n,R_07n,R_Ov_n,R_Ov_n_Place,R_Z,R_01_Place,R_02_Place,R_03_Place,R_04_Place,R_05_Place,R_06_Place,R_07_Place,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,WC_Qualify,R_Top40,Height,Weight,Affiliate,O_Top40,O_01n,O_02n,O_03n,O_04n,O_05n,O_Ov_n,O_Z,O_01_Place,O_02_Place,O_03_Place,O_04_Place,O_05_Place
0,176.0,0.0,Mathew Fraser,http://games.crossfit.com/athlete/153604,1.0,1,100.0,23,34.0,2,94.0,6,76.0,2,94.0,2,94.0,2,94.0,5,80.0,4,84.0,10,60.0,2,47.0,2,47.0,6,38.0,10,60.0,2,94.0,1 (1096),2016.0,1096.0,1,2050.27,505.0,260.44,457.97,2147.81,341.57,701.59,689.05,884.7,188.97,102.12,44.11,89.9,486.55,356.0,0.8424881994052393,79.0,1.0,0.26666666666666666,0.9325675388215273,0.825269470783694,0.9300036530421724,0.9419682071916352,0.9844215755855217,0.9411639309315711,0.5667006383092849,0.8348082595870207,0.9403959336543606,0.9909638554216869,0.8271391529818496,0.8377000424868999,0.9369057908383751,1.0,1,228.0,76.0,304.0,306.0,486.0,1.0,4.0,58,1,100,93.01123924,88.23265969,85.22131625,90.56075962,97.68480654,94.45294093,92.73767461,1,3.025451247,1,7,16,4,13,4,13,127.0,,78.0,,,,,375.0,315.0,500.0,485.0,50.0,Qualified,36.0,67.0,190.0,Champlain Valley CrossFit,5.0,0.652542372881356,1.0,0.8717948717948718,0.6341463414634146,0.75,0.7816967172279286,1.9567906119999998,35.0,3.0,8.0,44.0,20.0
1,177.0,1.0,Ben Smith,http://games.crossfit.com/athlete/43761,1.0,11,58.0,23,34.0,12,56.0,7,72.0,6,76.0,4,84.0,9,64.0,4,84.0,19,42.0,5,80.0,7,36.0,3,44.0,23,17.0,5,80.0,7,72.0,2 (899),2016.0,899.0,2,2235.49,505.0,281.29,462.51,2289.35,380.82,779.88,679.18,1005.0,180.23,125.49,44.44,108.44,476.67,395.66,0.7105205616685174,145.0,0.7543794507286932,0.26666666666666666,0.7108062114443733,0.8068725180322556,0.7863782116329099,0.8307500495877136,0.7066004258339249,0.9573487693291574,0.24405943249477013,0.8976904813295921,0.6903156768325308,0.9799196787148596,0.5600691443388073,0.884341217013643,0.7997925669835781,2.0,2,148.0,72.0,220.0,237.0,422.0,1.0,1.0,184,3,88.10938992,63.64034448,86.53641606,62.35876529,91.85555804,85.87606165,94.16773447,81.79203856,5,2.173488883,7,32,25,54,8,43,15,145.0,439.0,111.0,977.0,520.0,58.0,1220.0,335.0,300.0,540.0,480.0,76.0,Qualified,2.0,71.0,195.0,CrossFit Krypton,28.0,0.5508474576271186,1.0,0.5128205128205128,0.6219512195121951,0.45588235294117646,0.6283003085802006,0.769416192,115.0,1.0,316.0,49.0,314.0
2,178.0,2.0,Patrick Vellner,http://games.crossfit.com/athlete/158264,1.0,9,64.0,11,58.0,3,88.0,35,10.0,9,64.0,18,44.0,8,68.0,2,94.0,10,60.0,9,64.0,8,34.0,13,27.0,7,36.0,3,88.0,9,64.0,3 (863),2016.0,863.0,3,2215.55,525.0,262.44,557.59,2343.53,496.63,768.42,669.97,978.0,188.89,128.28,45.65,91.14,470.14,411.07,0.7016657342853476,154.0,0.780821917808219,0.4,0.9112954690491385,0.42159008023340616,0.7313999269391562,0.5025927290243971,0.747267565649397,0.9724513388977255,0.3164726707075041,0.8353838405640694,0.6604601391118244,0.9394243641231594,0.8092768654566408,0.9151678232544966,0.7465168539325843,3.0,3,210.0,10.0,220.0,279.0,388.0,3.0,4.0,359,15,7.391210619,80.47000438,85.12567878,75.35818288,100,78.43556674,90.6997892,73.92577608,25,1.561212032,175,13,34,17,1,77,42,148.0,586.0,87.0,1216.0,389.0,70.0,1158.0,330.0,260.0,525.0,415.0,64.0,Qualified,14.0,69.69,190.0,CrossFit Plateau,6.0,0.652542372881356,1.0,0.8974358974358975,0.7439024390243902,0.6813725490196079,0.7950506516722504,2.0277129869999997,35.0,12.0,5.0,19.0,46.0
3,179.0,3.0,Brent Fikowski,http://games.crossfit.com/athlete/107101,1.0,3,88.0,33,14.0,1,100.0,3,88.0,28,24.0,39,2.0,10,60.0,1,100.0,30,20.0,1,100.0,18,22.0,10,30.0,15,25.0,1,100.0,3,88.0,4 (861),2016.0,861.0,4,2173.8,485.0,254.1,438.52,2619.85,674.0,789.12,653.17,1050.0,166.01,150.79,45.37,97.84,452.17,367.52,0.6604315283944467,196.0,0.836186662069514,0.13333333333333333,1.0,0.9040846097738878,0.45100864553314124,-0.0,0.6738112136266857,1.0,0.12337070214021348,1.0,0.41958266452648485,0.9487951807228917,0.7127628925381734,1.0,0.8970786516853934,6.0,4,202.0,88.0,290.0,277.0,370.0,1.0,8.0,225,6,73.53022697,87.0792585,79.24200862,73.24403029,81.09754148,95.05295166,92.06795354,83.04485301,4,2.271002701,22,11,78,23,50,7,34,,,,,,59.0,,,290.0,,405.0,,Qualified,5.0,73.0,212.0,Kelowna CrossFit,15.0,0.6949152542372882,0.9759036144578314,0.6410256410256411,0.7682926829268293,0.4950980392156863,0.7150470463726553,1.399308466,13.0,97.0,65.0,15.0,239.0
4,180.0,4.0,Cole Sager,http://games.crossfit.com/athlete/153625,1.0,25,30.0,40,0.0,4,84.0,9,64.0,18,44.0,32,16.0,18,44.0,3,88.0,1,100.0,3,88.0,9,32.0,20,20.0,25,15.0,2,94.0,4,84.0,5 (803),2016.0,803.0,5,2386.61,465.0,269.05,469.13,2443.49,652.78,819.53,676.06,723.14,171.8,128.82,46.6,112.15,465.15,373.64,0.6648203171903544,213.0,0.5539789680276889,0.0,0.8409912784513932,0.7800470054299377,0.6299671226204491,0.06012864469694831,0.5658977998580556,0.9624649492481512,1.0,0.9583423267860995,0.654681647940075,0.9076305220883535,0.506626332469029,0.9387244488504934,0.8759204840103717,7.0,5,114.0,64.0,178.0,239.0,426.0,5.0,8.0,475,37,58.39056389,54.59057072,87.34814981,55.33197437,59.84846063,84.95543672,97.7514157,71.17379598,35,1.347009452,45,109,21,80,172,45,3,125.0,434.0,70.0,795.0,490.0,54.0,,345.0,275.0,470.0,475.0,68.0,Cut,28.0,70.0,205.0,CrossFit Deliverance,39.0,0.2457627118644068,1.0,0.3333333333333333,0.35365853658536583,0.5392156862745098,0.4943940536115231,-0.19107335399999997,1187.0,11.0,753.0,381.0,171.0
5,181.0,5.0,Scott Panchik,http://games.crossfit.com/athlete/34796,1.0,28,24.0,11,58.0,18,44.0,11,58.0,10,60.0,3,88.0,5,80.0,13,54.0,10,60.0,13,54.0,3,44.0,15,25.0,27,13.0,11,58.0,5,80.0,6 (800),2016.0,800.0,6,2401.83,525.0,290.07,473.74,2358.62,368.22,726.17,736.96,978.0,194.48,102.66,45.74,113.86,489.39,375.11,0.7023420428374728,183.0,0.5337957007784219,0.4,0.6174218251435866,0.7613663992219791,0.7160875918334213,0.8664532033662972,0.8971965933286021,0.8626010527524063,0.3164726707075041,0.7951651197927909,0.934617442482611,0.9364123159303882,0.48199366176894265,0.8242930651937876,0.870838375108038,4.0,6,126.0,58.0,184.0,180.0,420.0,1.0,3.0,132,2,95.54987527,91.49029339,85.93181436,70.95515434,80.29508616,98.15036175,97.18926962,88.50883641,2,2.696296233,4,10,27,26,58,3,4,,,,,,,,,,,,,Qualified,1.0,69.0,187.0,CrossFit Mentality,3.0,0.6186440677966102,1.0,0.8717948717948718,0.8170731707317073,0.7647058823529411,0.814443598535226,2.15562295,51.0,7.0,9.0,10.0,16.0
6,182.0,6.0,Jacob Heppner,http://games.crossfit.com/athlete/199938,1.0,4,84.0,28,24.0,15,50.0,28,24.0,4,84.0,27,26.0,4,84.0,19,42.0,6,76.0,8,68.0,1,50.0,7,36.0,17,23.0,4,84.0,19,42.0,7 (797),2016.0,797.0,7,2182.43,495.0,286.3,532.83,2233.28,556.28,713.0,765.16,892.28,187.85,96.55,45.23,101.69,475.23,491.7,0.6742272223122847,191.0,0.8247424047527486,0.2,0.6575196766645394,0.5219223599967581,0.8432743434671427,0.3335694653027685,0.9439318665720371,0.8163586573307315,0.5463712921740064,0.8428663932657026,1.0,0.9534805890227579,0.6573033707865169,0.8911391209932493,0.46776145203111497,5.0,7,158.0,24.0,182.0,201.0,380.0,2.0,3.0,218,5,8.315111946,66.55962633,92.97990259,99.40302854,93.01128553,98.45024641,89.92270491,78.37741518,9,1.907708932,130,26,2,2,6,2,50,,,,,,,,,,,,,Qualified,4.0,68.0,192.0,Cobra Command CrossFit,9.0,0.8728813559322034,0.9819277108433735,0.8461538461538461,0.5365853658536586,0.8137254901960784,0.8102547537958321,2.208233671,2.0,70.0,13.0,91.0,10.0
7,183.0,7.0,Björgvin Karl Guðmundsson,http://games.crossfit.com/athlete/81616,1.0,7,72.0,28,24.0,5,80.0,17,46.0,5,80.0,19,42.0,31,18.0,8,68.0,9,64.0,6,76.0,13,27.0,8,34.0,22,18.0,27,26.0,10,60.0,8 (735),2016.0,735.0,8,2194.33,495.0,271.29,492.01,2286.84,518.58,894.32,703.8,958.93,181.04,140.82,45.28,107.3,533.11,411.18,0.6261757393141061,215.0,0.8089617950112057,0.2,0.8171665603063175,0.6873328470702651,0.7889251938141817,0.4403955682751975,0.3004968062455641,0.9169768624042766,0.36761787265997975,0.8918627239369739,0.5262707330123061,0.9518072289156627,0.5764909248055315,0.6179011471462965,0.7461365600691443,8.0,8,176.0,46.0,222.0,227.0,286.0,1.0,5.0,429,26,70.88786918,77.33761495,73.33594581,41.94525335,82.84951565,89.56275558,86.76063324,74.66851254,21,1.619023519,27,15,108,151,40,19,69,143.0,,120.0,,,,1160.0,335.0,286.0,520.0,445.0,65.0,Qualified,21.0,70.08,185.0,CrossFit Hengill,7.0,0.652542372881356,1.0,0.8461538461538461,0.6219512195121951,0.7009803921568627,0.7643255661408521,1.825746486,35.0,4.0,18.0,48.0,38.0
8,184.0,8.0,Alex Vigneault,http://games.crossfit.com/athlete/180541,1.0,6,76.0,2,94.0,25,30.0,20,40.0,13,54.0,11,58.0,14,52.0,17,46.0,23,34.0,24,32.0,27,13.0,6,38.0,18,22.0,9,64.0,13,54.0,9 (707),2016.0,707.0,9,2192.01,585.0,307.3,502.08,2385.0,451.14,798.9,749.71,1046.0,221.34,164.14,45.22,102.36,486.07,446.17,0.6412927161525389,228.0,0.8120383508599767,0.8,0.4341629440544564,0.6465272712537484,0.6893189105816454,0.6314924484996175,0.6391057487579845,0.8416935867372873,0.13409858928284074,0.6019138067486869,0.27672552166934206,0.9538152610441768,0.6476519734946702,0.8399660104801021,0.6251685393258426,9.0,9,200.0,40.0,240.0,149.0,294.0,5.0,4.0,343,13,81.70675372,60.42913443,77.56815764,66.68025626,96.9820007,73.303974,89.61683131,78.04101544,11,1.881524989,13,61,90,34,3,87,55,134.0,432.0,71.0,894.0,457.0,,1170.0,360.0,300.0,600.0,455.0,72.0,Wildcard,12.0,71.0,205.0,CrossFit Quebec City,12.0,0.6271186440677966,1.0,0.8461538461538461,0.7682926829268293,0.5098039215686274,0.7502738189434199,1.673238871,48.0,9.0,19.0,13.0,216.0
9,185.0,9.0,Travis Mayer,http://games.crossfit.com/athlete/1690,1.0,8,68.0,11,58.0,11,58.0,18,44.0,15,50.0,22,36.0,15,50.0,7,72.0,13,54.0,7,72.0,30,10.0,25,15.0,21,19.0,8,68.0,26,28.0,10 (702),2016.0,702.0,10,2213.46,525.0,280.49,495.06,2417.29,537.71,806.34,698.57,995.0,181.95,181.0,47.73,104.75,481.19,596.08,0.5880446769401799,237.0,0.7835934702754312,0.4,0.719315039353329,0.674973660750466,0.6565531517636075,0.38618911337168105,0.6127040454222853,0.9255530229736154,0.2708791503513383,0.8853154903230448,0.09630818619582664,0.8698125836680055,0.6132238547968886,0.8630033517443233,0.10689714779602406,12.0,10,184.0,44.0,228.0,174.0,308.0,3.0,1.0,429,26,8.931046164,54.59057072,89.91770699,47.28887595,90.35295246,86.45905421,92.74170215,67.18312981,55,1.036392749,110,109,10,123,14,40,23,135.0,394.0,78.0,819.0,447.0,54.0,1083.0,345.0,280.0,550.0,475.0,75.0,Qualified,21.0,71.0,195.0,CrossFit Passion,2.0,0.6694915254237288,1.0,0.7948717948717948,1.0,0.7549019607843137,0.8438530562159674,2.328678263,17.0,21.0,28.0,2.0,18.0
