,"Unnamed: 0",Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Raw_Score,G_02_Place,G_02_Points,G_02_Raw_Score,G_03_Place,G_03_Points,G_03_Raw_Score,G_04_Place,G_04_Points,G_04_Raw_Score,G_05_Place,G_05_Points,G_05_Raw_Score,G_06_Place,G_06_Points,G_06_Raw_Score,G_07_Place,G_07_Points,G_07_Raw_Score,G_08_Place,G_08_Points,G_08_Raw_Score,G_09_Place,G_09_Points,G_09_Raw_Score,G_10_Place,G_10_Points,G_10_Raw_Score,G_11_Place,G_11_Points,G_11_Raw_Score,G_12_Place,G_12_Points,G_12_Raw_Score,G_13_Place,G_13_Points,G_13_Raw_Score,G_14_Place,G_14_Points,G_14_Raw_Score,G_15_Place,G_15_Points,G_15_Raw_Score,Games_Finish,Year,Games_Score,Games_Place,G_01_Score,G_02_Score,G_03_Score,G_04_Score,G_05_Score,G_06_Score,G_07_Score,G_08_Score,G_09_Score,G_10_Score,G_11_Score,G_12_Score,G_13_Score,G_14_Score,G_15_Score
0,0,"Rich Froning",http://games.crossfit.com/athlete/11435,1,18,51,00:48:59,12,63,02:06:00,3,90,36.51,16,31,"104.00 in",3,46,"68 pt",4,85,00:08:15.600,4,85,00:06:59.400,18,29,00:00:44.700,5,80,00:09:12.200,5,80,"345.07 lb",1,100,00:07:06,9,69,00:03:07,1,100,00:02:33,1,100,00:01:20.700,5,80,00:02:58.800,"1 (1089)",2012,1089,1,2939,7560,36.51,104,68,495.6,419.4,44.7,552.2,345.07,426,187,153,80.7,178.8
1,1,"Matt Chan",http://games.crossfit.com/athlete/17703,1,3,90,00:43:58,17,53,02:07:16,21,45,43.65,10,37,"106.50 in",2,48,"69 pt",5,80,00:08:17,24,39,00:09:28.600,42,5,00:00:48.400,1,100,00:07:33.600,11,65,"335.05 lb",3,90,00:07:24,8,71,00:03:03.300,2,95,00:02:42,3,90,00:01:27.900,10,67,00:03:40.400,"2 (975)",2012,975,2,2638,7636,43.65,106.5,69,497,568.6,48.4,453.6,335.05,444,183.3,162,87.9,220.4
2,2,"Kyle Kasperbauer",http://games.crossfit.com/athlete/25569,1,5,80,00:47:10,3,90,02:01:54,8,71,38.32,14,33,"105.50 in",16,31,"63 pt",19,49,00:09:04.500,5,80,00:07:23,15,32,00:00:44.500,20,47,00:11:09.500,16,55,"325.06 lb",23,41,00:09:52,1,100,00:02:51.200,9,69,00:03:01.500,15,57,00:02:19.900,2,95,00:02:44.700,"3 (930)",2012,930,3,2830,7314,38.32,105.5,63,544.5,443,44.5,669.5,325.06,592,171.2,181.5,139.9,164.7
3,3,"Scott Panchik",http://games.crossfit.com/athlete/34796,1,14,59,00:48:40,4,85,02:02:32,32,25,47.47,20,27,"102.50 in",19,28,"61 pt",7,73,00:08:32.400,22,43,00:09:18.500,16,31,00:00:44.600,9,69,00:10:09.600,19,49,"325.04 lb",5,80,00:07:51.200,7,73,00:03:01,6,75,00:02:55.700,6,75,00:01:32,1,100,00:02:41.200,"4 (892)",2012,892,4,2920,7352,47.47,102.5,61,512.4,558.5,44.6,609.6,325.04,471.2,181,175.7,92,161.2
4,4,"Jason Khalipa",http://games.crossfit.com/athlete/12485,1,22,43,00:49:24,31,26,02:16:16,23,41,43.77,26,21,"98.50 in",24,23,"56 pt",10,67,00:08:49.100,10,67,00:08:00,44,3,00:00:49.900,2,95,00:08:27,2,95,"355.10 lb",2,95,00:07:22.100,14,59,00:03:20,5,80,00:02:51.200,4,85,00:01:30.900,4,85,00:02:55,"5 (885)",2012,885,5,2964,8176,43.77,98.5,56,529.1,480,49.9,507,355.1,442.1,200,171.2,90.9,175
5,5,"Dan Bailey",http://games.crossfit.com/athlete/47661,1,15,57,00:48:56,24,39,02:10:37,16,55,44.19,12,35,"106.00 in",4,44,"67 pt",31,26,00:09:47.700,2,95,00:06:28.100,5,42,00:00:43.200,32,25,00:12:05.200,6,75,"345.06 lb",6,75,00:08:19.500,15,57,00:03:28,11,65,00:03:18.300,5,80,00:01:31.200,3,90,00:02:54,"6 (860)",2012,860,6,2936,7837,44.19,106,67,587.7,388.1,43.2,725.2,345.06,499.5,208,198.3,91.2,174
6,6,"Marcus Hendren",http://games.crossfit.com/athlete/16421,1,32,25,00:52:50,20,47,02:09:35,17,53,40.53,18,29,"103.00 in",9,38,"65 pt",21,45,00:09:10.900,23,41,00:09:20,9,38,00:00:43.600,6,75,00:09:24.200,3,90,"355.06 lb",8,71,00:08:46.600,2,95,00:02:55.500,12,63,00:03:36.600,12,63,00:01:59,7,73,00:03:11,"7 (846)",2012,846,7,3170,7775,40.53,103,65,550.9,560,43.6,564.2,355.06,526.6,175.5,216.6,119,191
7,7,"Austin Malleolo",http://games.crossfit.com/athlete/10169,1,21,45,00:49:07,11,65,02:05:35,31,26,46.52,25,22,"99.50 in",28,19,"55 pt",6,75,00:08:23.900,3,90,00:06:52,27,20,00:00:46.100,3,90,00:08:43.500,33,24,"295.06 lb",11,65,00:09:18.600,6,75,00:02:58.800,3,90,00:02:43,11,65,00:01:54.600,9,69,00:03:29,"8 (840)",2012,840,8,2947,7535,46.52,99.5,55,503.9,412,46.1,523.5,295.06,558.6,178.8,163,114.6,209
8,8,"Chad Mackay",http://games.crossfit.com/athlete/51041,1,2,95,00:43:04,1,100,01:57:33,20,47,42.4,24,23,"100.00 in",1,50,"72 pt",34,23,00:09:57,11,65,00:08:10.700,16,31,00:00:44.600,21,45,00:11:11.900,16,55,"325.06 lb",28,31,00:10:20,4,85,00:02:57.500,16,55,00:04:18.900,13,61,00:01:59.600,12,63,00:04:47.500,"9 (829)",2012,829,9,2584,7053,42.4,100,72,597,490.7,44.6,671.9,325.06,620,177.5,258.9,119.6,287.5
9,9,"Graham Holmberg",http://games.crossfit.com/athlete/11451,1,34,23,00:53:12,21,45,02:09:36,5,80,37.63,9,38,"108.00 in",17,30,"62 pt",3,90,00:08:14.900,19,49,00:09:08.900,22,25,00:00:45.400,13,61,00:10:29.600,9,69,"335.11 lb",21,45,00:09:45.200,24,39,00:04:09,8,71,00:03:00.200,7,73,00:01:33.400,6,75,00:03:00.700,"10 (813)",2012,813,10,3192,7776,37.63,108,62,494.9,548.9,45.4,629.6,335.11,585.2,249,180.2,93.4,180.7
