,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
0,Rich Froning,http://games.crossfit.com/athlete/11435,1,18,51.0,48:59.0,12,63.0,2:06:00.0,3,90.0,36.51,16,31.0,104.00 in,3,46.0,68 pt,4,85.0,08:15.6,4,85.0,06:59.4,18,29.0,00:44.7,5,80.0,09:12.2,5,80.0,345.07 lb,1,100.0,07:06.0,9,69.0,03:07.0,1,100.0,02:33.0,1,100.0,01:20.7,5,80.0,02:58.8,1 (1089),2012
1,Matt Chan,http://games.crossfit.com/athlete/17703,1,3,90.0,43:58.0,17,53.0,2:07:16.0,21,45.0,43.65,10,37.0,106.50 in,2,48.0,69 pt,5,80.0,08:17.0,24,39.0,09:28.6,42,5.0,00:48.4,1,100.0,07:33.6,11,65.0,335.05 lb,3,90.0,07:24.0,8,71.0,03:03.3,2,95.0,02:42.0,3,90.0,01:27.9,10,67.0,03:40.4,2 (975),2012
2,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,1,5,80.0,47:10.0,3,90.0,2:01:54.0,8,71.0,38.32,14,33.0,105.50 in,16,31.0,63 pt,19,49.0,09:04.5,5,80.0,07:23.0,15,32.0,00:44.5,20,47.0,11:09.5,16,55.0,325.06 lb,23,41.0,09:52.0,1,100.0,02:51.2,9,69.0,03:01.5,15,57.0,02:19.9,2,95.0,02:44.7,3 (930),2012
3,Scott Panchik,http://games.crossfit.com/athlete/34796,1,14,59.0,48:40.0,4,85.0,2:02:32.0,32,25.0,47.47,20,27.0,102.50 in,19,28.0,61 pt,7,73.0,08:32.4,22,43.0,09:18.5,16,31.0,00:44.6,9,69.0,10:09.6,19,49.0,325.04 lb,5,80.0,07:51.2,7,73.0,03:01.0,6,75.0,02:55.7,6,75.0,01:32.0,1,100.0,02:41.2,4 (892),2012
4,Jason Khalipa,http://games.crossfit.com/athlete/12485,1,22,43.0,49:24.0,31,26.0,2:16:16.0,23,41.0,43.77,26,21.0,98.50 in,24,23.0,56 pt,10,67.0,08:49.1,10,67.0,08:00.0,44,3.0,00:49.9,2,95.0,08:27.0,2,95.0,355.10 lb,2,95.0,07:22.1,14,59.0,03:20.0,5,80.0,02:51.2,4,85.0,01:30.9,4,85.0,02:55.0,5 (885),2012
5,Dan Bailey,http://games.crossfit.com/athlete/47661,1,15,57.0,48:56.0,24,39.0,2:10:37.0,16,55.0,44.19,12,35.0,106.00 in,4,44.0,67 pt,31,26.0,09:47.7,2,95.0,06:28.1,5,42.0,00:43.2,32,25.0,12:05.2,6,75.0,345.06 lb,6,75.0,08:19.5,15,57.0,03:28.0,11,65.0,03:18.3,5,80.0,01:31.2,3,90.0,02:54.0,6 (860),2012
6,Marcus Hendren,http://games.crossfit.com/athlete/16421,1,32,25.0,52:50.0,20,47.0,2:09:35.0,17,53.0,40.53,18,29.0,103.00 in,9,38.0,65 pt,21,45.0,09:10.9,23,41.0,09:20.0,9,38.0,00:43.6,6,75.0,09:24.2,3,90.0,355.06 lb,8,71.0,08:46.6,2,95.0,02:55.5,12,63.0,03:36.6,12,63.0,01:59.0,7,73.0,03:11.0,7 (846),2012
7,Austin Malleolo,http://games.crossfit.com/athlete/10169,1,21,45.0,49:07.0,11,65.0,2:05:35.0,31,26.0,46.52,25,22.0,99.50 in,28,19.0,55 pt,6,75.0,08:23.9,3,90.0,06:52.0,27,20.0,00:46.1,3,90.0,08:43.5,33,24.0,295.06 lb,11,65.0,09:18.6,6,75.0,02:58.8,3,90.0,02:43.0,11,65.0,01:54.6,9,69.0,03:29.0,8 (840),2012
8,Chad Mackay,http://games.crossfit.com/athlete/51041,1,2,95.0,43:04.0,1,100.0,1:57:33.0,20,47.0,42.4,24,23.0,100.00 in,1,50.0,72 pt,34,23.0,09:57.0,11,65.0,08:10.7,16,31.0,00:44.6,21,45.0,11:11.9,16,55.0,325.06 lb,28,31.0,10:20.0,4,85.0,02:57.5,16,55.0,04:18.9,13,61.0,01:59.6,12,63.0,04:47.5,9 (829),2012
9,Graham Holmberg,http://games.crossfit.com/athlete/11451,1,34,23.0,53:12.0,21,45.0,2:09:36.0,5,80.0,37.63,9,38.0,108.00 in,17,30.0,62 pt,3,90.0,08:14.9,19,49.0,09:08.9,22,25.0,00:45.4,13,61.0,10:29.6,9,69.0,335.11 lb,21,45.0,09:45.2,24,39.0,04:09.0,8,71.0,03:00.2,7,73.0,01:33.4,6,75.0,03:00.7,10 (813),2012
