,"Unnamed: 0",Athlete,Athlete_URL,Games_Finish,Year,Games_Score,Games_Place,Division,Event_#,Event_ID,Event_Place,Event_Points,Event_Raw_Score,Event_Score
0,0,"Rich Froning",http://games.crossfit.com/athlete/11435,"1 (1089)",2012,1089,1,1,1,2012_01,18,51,00:48:59,2939
1,1,"Matt Chan",http://games.crossfit.com/athlete/17703,"2 (975)",2012,975,2,1,1,2012_01,3,90,00:43:58,2638
2,2,"Kyle Kasperbauer",http://games.crossfit.com/athlete/25569,"3 (930)",2012,930,3,1,1,2012_01,5,80,00:47:10,2830
3,3,"Scott Panchik",http://games.crossfit.com/athlete/34796,"4 (892)",2012,892,4,1,1,2012_01,14,59,00:48:40,2920
4,4,"Jason Khalipa",http://games.crossfit.com/athlete/12485,"5 (885)",2012,885,5,1,1,2012_01,22,43,00:49:24,2964
5,5,"Dan Bailey",http://games.crossfit.com/athlete/47661,"6 (860)",2012,860,6,1,1,2012_01,15,57,00:48:56,2936
6,6,"Marcus Hendren",http://games.crossfit.com/athlete/16421,"7 (846)",2012,846,7,1,1,2012_01,32,25,00:52:50,3170
7,7,"Austin Malleolo",http://games.crossfit.com/athlete/10169,"8 (840)",2012,840,8,1,1,2012_01,21,45,00:49:07,2947
8,8,"Chad Mackay",http://games.crossfit.com/athlete/51041,"9 (829)",2012,829,9,1,1,2012_01,2,95,00:43:04,2584
9,9,"Graham Holmberg",http://games.crossfit.com/athlete/11451,"10 (813)",2012,813,10,1,1,2012_01,34,23,00:53:12,3192
10,10,"Ben Smith",http://games.crossfit.com/athlete/43761,"11 (808)",2012,808,11,1,1,2012_01,15,57,00:48:56,2936
11,11,"Nate Schrader",http://games.crossfit.com/athlete/53314,"12 (801)",2012,801,12,1,1,2012_01,35,22,00:53:17,3197
12,12,"Spencer Hendel",http://games.crossfit.com/athlete/50866,"13 (735)",2012,735,13,1,1,2012_01,26,35,00:50:25,3025
13,13,"Daniel Tyminski",http://games.crossfit.com/athlete/5284,"14 (701)",2012,701,14,1,1,2012_01,11,65,00:48:25,2905
14,14,"Lucas Parker",http://games.crossfit.com/athlete/38209,"15 (685)",2012,685,15,1,1,2012_01,42,15,00:56:02,3362
15,15,"Patrick Burke",http://games.crossfit.com/athlete/15617,"16 (608)",2012,608,16,1,1,2012_01,30,27,00:52:12,3132
16,16,"Kenneth Leverich",http://games.crossfit.com/athlete/21343,"17 (604)",2012,604,17,1,1,2012_01,15,57,00:48:56,2936
17,17,"Gabe Subry",http://games.crossfit.com/athlete/8496,"18 (604)",2012,604,18,1,1,2012_01,12,63,00:48:26,2906
18,18,"Chase Daniels",http://games.crossfit.com/athlete/9241,"19 (531)",2012,531,19,1,1,2012_01,25,37,00:50:23,3023
19,19,"Neal Maddox",http://games.crossfit.com/athlete/24156,"20 (527)",2012,527,20,1,1,2012_01,28,31,00:51:37,3097
20,20,"Aja Barto",http://games.crossfit.com/athlete/36154,"21 (519)",2012,519,21,1,1,2012_01,44,13,00:57:07,3427
21,21,"Chris Spealler",http://games.crossfit.com/athlete/27065,"22 (495)",2012,495,22,1,1,2012_01,9,69,00:48:12,2892
22,22,"Jon Pera",http://games.crossfit.com/athlete/31660,"23 (495)",2012,495,23,1,1,2012_01,36,21,00:53:39,3219
23,23,"Númi S. Katrínarson",http://games.crossfit.com/athlete/11391,"24 (471)",2012,471,24,1,1,2012_01,1,100,00:42:13,2533
24,24,"Albert-Dominic Larouche",http://games.crossfit.com/athlete/49510,"25 (421)",2012,421,25,1,1,2012_01,27,33,00:51:29,3089
25,25,"Justin Allen",http://games.crossfit.com/athlete/1819,"26 (397)",2012,397,26,1,1,2012_01,31,26,00:52:40,3160
26,26,"Joey Warren",http://games.crossfit.com/athlete/11644,"27 (396)",2012,396,27,1,1,2012_01,33,24,00:52:51,3171
27,27,"Phillip Kniep",http://games.crossfit.com/athlete/11826,"28 (394)",2012,394,28,1,1,2012_01,41,16,00:55:07,3307
28,28,"Guido Trinidad",http://games.crossfit.com/athlete/30180,"29 (383)",2012,383,29,1,1,2012_01,43,14,00:56:10,3370
29,29,"Frederik Aegidius",http://games.crossfit.com/athlete/18543,"30 (382)",2012,382,30,1,1,2012_01,20,47,00:49:04,2944
30,30,"Jeremy Kinnick",http://games.crossfit.com/athlete/35012,"31 (382)",2012,382,31,1,1,2012_01,13,61,00:48:33,2913
31,31,"Mikko Aronpää",http://games.crossfit.com/athlete/10822,"32 (374)",2012,374,32,1,1,2012_01,8,71,00:48:03,2883
32,32,"Daniel Hershey",http://games.crossfit.com/athlete/2615,"33 (357)",2012,357,33,1,1,2012_01,4,85,00:45:20,2720
33,33,"Austin Stack",http://games.crossfit.com/athlete/31873,"34 (353)",2012,353,34,1,1,2012_01,10,67,00:48:22,2902
34,34,"Rob Forte",http://games.crossfit.com/athlete/7285,"35 (345)",2012,345,35,1,1,2012_01,7,73,00:47:58,2878
35,35,"David Levey",http://games.crossfit.com/athlete/8743,"36 (323)",2012,323,36,1,1,2012_01,6,75,00:47:31,2851
36,36,"Kevin Simons",http://games.crossfit.com/athlete/42206,"37 (297)",2012,297,37,1,1,2012_01,40,17,00:54:49,3289
37,37,"Jason Hoggan",http://games.crossfit.com/athlete/5718,"38 (284)",2012,284,38,1,1,2012_01,37,20,00:53:49,3229
38,38,"Matthew Lefave",http://games.crossfit.com/athlete/18006,"39 (257)",2012,257,39,1,1,2012_01,23,41,00:49:47,2987
39,39,"Jeremy Meredith",http://games.crossfit.com/athlete/5296,"40 (247)",2012,247,40,1,1,2012_01,38,19,00:53:54,3234
40,40,"Brandon Swan",http://games.crossfit.com/athlete/7314,"41 (242)",2012,242,41,1,1,2012_01,19,49,00:49:00,2940
