Regional_Name,Regional,Region_Name,Region,Qualifiers,Actual_1,Actual_2
Meridian,5,Africa,1,10,11,12
Pacific,6,Asia,2,10,10,10
Pacific,6,Australia,3,30,31,36
East,4,"Canada East",4,20,24,30
West,8,"Canada West",5,20,23,21
Central,3,"Central East",6,20,27,29
Meridian,5,Europe,7,30,32,41
South,7,LatAm,8,10,14,14
Atlantic,1,"Mid Atlantic",9,20,22,30
Central,3,"North Central",10,20,21,28
East,4,"North East",11,20,20,25
California,2,NorCal,12,20,28,28
West,8,"North West",13,20,25,27
South,7,"South Central",14,20,25,24
Atlantic,1,"South East",15,20,26,32
California,2,SoCal,16,20,24,30
South,7,"South West",17,20,24,24
