,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year
0,0,Jason Smith,http://games.crossfit.com/athlete/120333,1,0,1 (19),0,1,0,8 (297),3 (428),5 (130),1 (277),2 (08:55),16
1,0,Ruan Duvenage,http://games.crossfit.com/athlete/214252,1,0,2 (29),0,1,0,5 (310),2 (429),11 (127),7 (268),4 (08:57),16
2,0,Mikko Aronpää,http://games.crossfit.com/athlete/10822,1,0,3 (38),0,1,0,6 (305),6 (424),1 (138),8 (266),17 (09:27),16
3,0,Phil Hesketh,http://games.crossfit.com/athlete/3381,1,0,4 (46),0,1,0,2 (312),1 (430),21 (121),21 (250),1 (08:41),16
4,0,Billy Pullen,http://games.crossfit.com/athlete/226472,1,0,5 (51),0,1,0,1 (313),17 (345),2 (134),29 (244),2 (08:55),16
5,0,Alan Foulis,http://games.crossfit.com/athlete/101860,1,0,6 (56),0,1,0,18 (286),4 (425),5 (130),19 (251),10 (09:14),16
6,0,Elliot Simmonds,http://games.crossfit.com/athlete/86089,1,0,7 (58),0,1,0,14 (290),9 (423),11 (127),12 (263),12 (09:18),16
7,0,ates boran,http://games.crossfit.com/athlete/231921,1,0,8 (61),0,1,0,12 (291),13 (345),16 (124),13 (263),7 (09:03),16
8,0,Severin Irimia,http://games.crossfit.com/athlete/213806,1,0,9 (71),0,1,0,12 (291),11 (346),9 (128),20 (251),19 (09:32),16
9,0,Anže Benko,http://games.crossfit.com/athlete/101812,1,0,10 (74),0,1,0,2 (312),12 (345),4 (130),31 (241),25 (09:53),16
0,0,Eric Carmody,http://games.crossfit.com/athlete/28040,1,0,1 (16),0,2,0,3 (312),4 (425),5 (128),1 (288),3 (09:09),16
1,0,Cameron Currie,http://games.crossfit.com/athlete/3057,1,0,2 (25),0,2,0,7 (296),1 (428),7 (125),2 (275),8 (09:37),16
2,0,Ant Haynes,http://games.crossfit.com/athlete/23655,1,0,3 (35),0,2,0,7 (296),9 (345),9 (122),3 (267),7 (09:33),16
3,0,Carlos Albaladejo,http://games.crossfit.com/athlete/41519,1,0,4 (37),0,2,0,1 (324),2 (426),12 (120),21 (246),1 (08:59),16
4,0,JiMoo Son,http://games.crossfit.com/athlete/278578,1,0,5 (44),0,2,0,4 (300),15 (343),9 (122),10 (254),6 (09:27),16
5,0,Fiodor Serkov,http://games.crossfit.com/athlete/21447,1,0,6 (50),0,2,0,28 (270),5 (425),3 (130),9 (254),5 (09:25),16
