,Unnamed: 0,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups
0,0,31,Jason Smith,http://games.crossfit.com/athlete/120333,1,72.83,1 (19),0,1,195 lb,8 (297),3 (428),5 (130),1 (277),2 (08:55),16,CrossFit Kyalami,CrossFit Kyalami,2:29,--,1:20,21:33,436,1:05,19:30,345 lb,295 lb,550 lb,450 lb,45
1,1,27,Ruan Duvenage,http://games.crossfit.com/athlete/214252,1,68.9,2 (29),0,1,92 kg,5 (310),2 (429),11 (127),7 (268),4 (08:57),16,,CrossFit BrackenGate,2:13,6:59,1:22,--,440,1:00,--,165 kg,130 kg,240 kg,220 kg,60
2,2,32,Mikko Aronpää,http://games.crossfit.com/athlete/10822,1,70.08,3 (38),0,1,92 kg,6 (305),6 (424),1 (138),8 (266),17 (09:27),16,,,2:12,0:00,0:00,0:00,0,0:00,0:00,155 kg,125 kg,243 kg,207 kg,52
3,3,25,Phil Hesketh,http://games.crossfit.com/athlete/3381,1,70.87,4 (46),0,1,206 lb,2 (312),1 (430),21 (121),21 (250),1 (08:41),16,InnerFight,InnerFight CrossFit DXB,2:14,8:00,1:41,0:00,--,1:08,0:00,325 lb,285 lb,240 kg,220 kg,50
4,4,24,Billy Pullen,http://games.crossfit.com/athlete/226472,1,70.08,5 (51),0,1,84 kg,1 (313),17 (345),2 (134),29 (244),2 (08:55),16,,CrossFit Shumba,2:07,6:53,1:46,--,--,--,--,135 kg,113 kg,230 kg,190 kg,--
5,5,30,Alan Foulis,http://games.crossfit.com/athlete/101860,1,68.9,6 (56),0,1,198 lb,18 (286),4 (425),5 (130),19 (251),10 (09:14),16,Team CrossFit Tokai,CrossFit Tokai,2:45,--,1:57,19:45,367,0:58,23:04,145 kg,109 kg,215 kg,190 kg,39
6,6,22,Elliot Simmonds,http://games.crossfit.com/athlete/86089,1,72.05,7 (58),0,1,185 lb,14 (290),9 (423),11 (127),12 (263),12 (09:18),16,CrossFit Yas,CrossFit Yas,0:00,--,0:00,0:00,0,0:00,0:00,0 kg,0 kg,0 kg,0 kg,--
7,7,29,ates boran,http://games.crossfit.com/athlete/231921,1,68.11,8 (61),0,1,169 lb,12 (291),13 (345),16 (124),13 (263),7 (09:03),16,,CrossFit 34,2:14,7:34,1:38,--,--,--,--,140 kg,115 kg,215 kg,190 kg,79
8,8,28,Severin Irimia,http://games.crossfit.com/athlete/213806,1,71.26,9 (71),0,1,87 kg,12 (291),11 (346),9 (128),20 (251),19 (09:32),16,,CrossFit Euphoria,2:43,--,--,--,--,--,--,140 kg,105 kg,215 kg,165 kg,50
9,9,24,Anže Benko,http://games.crossfit.com/athlete/101812,1,68.9,10 (74),0,1,189 lb,2 (312),12 (345),4 (130),31 (241),25 (09:53),16,,CrossFit FDT,2:28,--,--,--,--,--,--,125 kg,93 kg,200 kg,175 kg,--
10,10,23,Mahmood Shalan,http://games.crossfit.com/athlete/574337,1,70.08,11 (76),0,1,188 lb,22 (280),10 (346),34 (116),4 (271),6 (09:02),16,,CrossFit Alioth,2:29,--,--,--,--,--,--,315 lb,225 lb,500 lb,395 lb,--
11,11,28,Yousef Albaqsami,http://games.crossfit.com/athlete/37562,1,68.11,12 (77),0,1,167 lb,18 (286),8 (423),14 (126),26 (249),11 (09:17),16,,CrossFit Q8,--,--,--,--,--,--,--,--,--,--,--,--
12,12,26,Jaco Van der Vyver,http://games.crossfit.com/athlete/102335,1,73.62,13 (84),0,1,205 lb,25 (274),27 (342),15 (124),9 (265),8 (09:12),16,CrossFit Valley Road 1,CrossFit Valley Road,2:20,7:20,--,--,--,0:55,19:45,155 kg,125 kg,250 kg,203 kg,55
13,13,23,Ivan Kruger,http://games.crossfit.com/athlete/8877,1,74.02,14 (104),0,1,96 kg,7 (302),16 (345),44 (114),6 (270),31 (10:01),16,Crossfit Black and Yellow,CrossFit Black & Yellow,2:27,8:30,1:37,0:00,--,0:00,0:00,152 kg,124 kg,235 kg,200 kg,60
