Athlete,Athlete_URL,Division,Q_Place,Regional,Status
Thomas Nay,http://games.crossfit.com/athlete/164081,101,Mid Atlantic 1,1,Accepted
Ben Smith,http://games.crossfit.com/athlete/43761,101,Mid Atlantic 2,1,Accepted
Craig Williams,http://games.crossfit.com/athlete/20093,101,Mid Atlantic 3,1,Accepted
Nathan Trevillian,http://games.crossfit.com/athlete/3737,101,Mid Atlantic 4,1,Accepted
Gary Helmick,http://games.crossfit.com/athlete/44402,101,Mid Atlantic 5,1,Accepted
Eric Oxley,http://games.crossfit.com/athlete/21643,101,Mid Atlantic 6,1,Accepted
Chandler Smith,http://games.crossfit.com/athlete/469626,101,Mid Atlantic 7,1,Accepted
Lex Ozias,http://games.crossfit.com/athlete/306487,101,Mid Atlantic 8,1,Accepted
Jordan Troyan,http://games.crossfit.com/athlete/4895,101,Mid Atlantic 9,1,Accepted
Kent Ingalls,http://games.crossfit.com/athlete/6151,101,Mid Atlantic 10,1,Accepted
Alec Smith,http://games.crossfit.com/athlete/99564,101,Mid Atlantic 11,1,Accepted
Bryce Lawlor,http://games.crossfit.com/athlete/255820,101,Mid Atlantic 12,1,Accepted
Uriah Aviles,http://games.crossfit.com/athlete/755362,101,Mid Atlantic 13,1,Team
Chris Killian,http://games.crossfit.com/athlete/225262,101,Mid Atlantic 14,1,Accepted
Adam Klink,http://games.crossfit.com/athlete/32551,101,Mid Atlantic 15,1,Accepted
Vinny Casey,http://games.crossfit.com/athlete/243332,101,Mid Atlantic 16,1,Accepted
Josh Mabry,http://games.crossfit.com/athlete/319709,101,Mid Atlantic 17,1,Accepted
Jonathan Wier,http://games.crossfit.com/athlete/226873,101,Mid Atlantic 18,1,Accepted
Dane Smith,http://games.crossfit.com/athlete/290604,101,Mid Atlantic 19,1,Accepted
Brandon Hedrick,http://games.crossfit.com/athlete/66631,101,Mid Atlantic 20,1,Team
Nathan Bramblett,http://games.crossfit.com/athlete/104297,101,Mid Atlantic 21,1,Accepted
Chad Blanchard,http://games.crossfit.com/athlete/646056,101,Mid Atlantic 22,1,Accepted
Noah Ohlsen,http://games.crossfit.com/athlete/2725,101,South East 1,1,Accepted
Travis Mayer,http://games.crossfit.com/athlete/1690,101,South East 2,1,Accepted
Irving Hernandez,http://games.crossfit.com/athlete/55226,101,South East 3,1,Accepted
Ryan Elrod,http://games.crossfit.com/athlete/258584,101,South East 4,1,Accepted
