Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID,Reg_Finish,Reg_Place,Reg_Score,Reg_Wk1_Finish,Reg_Wk1_Place,Reg_Wk2_Finish,Reg_Wk2_Place,Reg_Wk3_Finish,Reg_Wk3_Place,Reg_Wk4_Finish,Reg_Wk4_Place,Regional,Regional_Name,Region_Name,Reg_Cutoff,Reg_Actual,Reg_Auto_Qualify,Reg_Actual_Qualify,Status,Status_Code
0,0,25.0,Noah Ohlsen,http://games.crossfit.com/athlete/2725,1,67.0,1 (41),41,15,188.0,2 (350),9 (430),21 (140),5 (314),4 (07:38),16,,Peak 360 CrossFit,132.0,,106.0,1145.0,421.0,59.0,,345.0,280.0,490.0,425.0,72.0,1,2,350,9,430,21,140,5,314,4,458,2725,1 (7),1,7,1 (350),1,1 (350),1,1 (350),1,1 (350),1,1,Atlantic,South East,20,26,1,1,Accepted,1
1,1,28.0,Richard Froning Jr.,http://games.crossfit.com/athlete/11435,1,69.0,2 (85),85,6,198.0,51 (320),2 (430),16 (140),1 (315),15 (08:02),16,CrossFit Mayhem Freedom,CrossFit Mayhem,133.0,,71.0,,508.0,,,370.0,305.0,570.0,475.0,75.0,2,51,320,2,430,16,140,1,315,15,482,11435,1 (9),1,9,4 (320),4,4 (320),4,4 (320),4,4 (320),4,3,Central,Central East,20,27,1,1,Team,2
2,2,25.0,Travis Mayer,http://games.crossfit.com/athlete/1690,1,71.0,3 (86),86,15,195.0,17 (326),21 (430),28 (138),2 (314),18 (08:05),16,,CrossFit Passion,135.0,394.0,78.0,819.0,447.0,54.0,1083.0,345.0,280.0,550.0,475.0,75.0,3,17,326,21,430,28,138,2,314,18,485,1690,2 (11),2,11,2 (326),2,2 (326),2,2 (326),2,2 (326),2,1,Atlantic,South East,20,26,1,1,Accepted,1
3,3,28.0,Scott Panchik,http://games.crossfit.com/athlete/34796,1,69.0,4 (93),93,6,187.0,51 (320),7 (430),9 (141),10 (299),16 (08:03),16,CrossFit Mentality,CrossFit Mentality,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,4,51,320,7,430,9,141,10,299,16,483,34796,2 (11),2,11,4 (320),4,4 (320),4,4 (320),4,4 (320),4,3,Central,Central East,20,27,1,1,Accepted,1
4,4,26.0,Kyle Frankenfeld,http://games.crossfit.com/athlete/18670,1,71.26,5 (97),97,3,205.0,8 (338),19 (430),2 (146),16 (294),52 (08:23),16,CrossFit Moorabbin,CrossFit Moorabbin,167.0,485.0,66.0,,0.0,65.0,,319.67,264.55,507.06,476.2,50.0,5,8,338,19,430,2,146,16,294,52,503,18670,1 (8),1,8,1 (338),1,1 (338),1,1 (338),1,1 (338),1,6,Pacific,Australia,30,31,1,1,Accepted,1
5,5,32.0,Josh Bridges,http://games.crossfit.com/athlete/124483,1,65.0,6 (103),103,16,173.0,1 (365),6 (430),33 (137),62 (280),1 (07:15),16,,,,,,,,,,,,,,,6,1,365,6,430,33,137,62,280,1,435,124483,1 (12),1,12,1 (365),1,1 (365),1,1 (365),1,1 (365),1,2,California,SoCal,20,24,1,1,Accepted,1
6,6,26.0,Mathew Fraser,http://games.crossfit.com/athlete/153604,1,67.0,7 (110),110,11,190.0,35 (324),3 (430),8 (141),44 (284),20 (08:06),16,Champlain Valley CrossFit,Champlain Valley CrossFit,127.0,,78.0,,,,,375.0,315.0,500.0,485.0,50.0,7,35,324,3,430,8,141,44,284,20,486,153604,1 (11),1,11,2 (324),2,2 (324),2,2 (324),2,2 (324),2,4,East,North East,20,20,1,1,Accepted,1
7,7,25.0,Patrick Vellner,http://games.crossfit.com/athlete/158264,1,69.69,8 (117),117,4,190.0,35 (324),12 (430),5 (142),19 (293),46 (08:20),16,,CrossFit Plateau,148.0,586.0,87.0,1216.0,389.0,70.0,1158.0,330.0,260.0,525.0,415.0,64.0,8,35,324,12,430,5,142,19,293,46,500,158264,1 (13),1,13,3 (324),3,3 (324),3,3 (324),3,3 (324),3,4,East,Canada East,20,24,1,1,Accepted,1
8,8,23.0,Björgvin Karl Guðmundsson,http://games.crossfit.com/athlete/81616,1,70.08,9 (143),143,7,185.0,35 (324),4 (430),18 (140),48 (283),38 (08:16),16,,CrossFit Hengill,143.0,,120.0,,,,1160.0,335.0,286.0,520.0,445.0,65.0,9,35,324,4,430,18,140,48,283,38,496,81616,1 (24),1,24,8 (324),8,8 (324),8,8 (324),8,8 (324),8,5,Meridian,Europe,30,32,1,1,Accepted,1
9,9,29.0,Rob Forte,http://games.crossfit.com/athlete/7285,1,68.5,10 (167),167,3,194.0,13 (329),71 (427),70 (131),7 (307),6 (07:42),16,Reebok CrossFit Frankston,Reebok CrossFit Frankston,136.0,421.0,76.0,1001.0,472.0,59.0,1130.0,325.0,270.0,495.0,418.0,53.0,10,13,329,71,427,70,131,7,307,6,462,7285,2 (12),2,12,2 (329),2,2 (329),2,2 (329),2,2 (329),2,6,Pacific,Australia,30,31,1,1,Accepted,1
