Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID
0,0,25.0,Noah Ohlsen,http://games.crossfit.com/athlete/2725,1,67.0,1 (41),41,0,188.0,2 (350),9 (430),21 (140),5 (314),4 (07:38),16,,Peak 360 CrossFit,,,,,421,,,345.0,280.0,490.0,425.0,72,1,2,350,9,430,21,140,5,314,4,458,2725
1,1,28.0,Richard Froning Jr.,http://games.crossfit.com/athlete/11435,1,69.0,2 (85),85,0,198.0,51 (320),2 (430),16 (140),1 (315),15 (08:02),16,CrossFit Mayhem Freedom,CrossFit Mayhem,,,,,508,,,370.0,305.0,570.0,475.0,75,2,51,320,2,430,16,140,1,315,15,482,11435
2,2,25.0,Travis Mayer,http://games.crossfit.com/athlete/1690,1,71.0,3 (86),86,0,195.0,17 (326),21 (430),28 (138),2 (314),18 (08:05),16,,CrossFit Passion,,,,,447,,,345.0,280.0,550.0,475.0,75,3,17,326,21,430,28,138,2,314,18,485,1690
3,3,28.0,Scott Panchik,http://games.crossfit.com/athlete/34796,1,69.0,4 (93),93,0,187.0,51 (320),7 (430),9 (141),10 (299),16 (08:03),16,CrossFit Mentality,CrossFit Mentality,,,,,0,,,0.0,0.0,0.0,0.0,0,4,51,320,7,430,9,141,10,299,16,483,34796
4,4,26.0,Kyle Frankenfeld,http://games.crossfit.com/athlete/18670,1,71.26,5 (97),97,0,205.0,8 (338),19 (430),2 (146),16 (294),52 (08:23),16,CrossFit Moorabbin,CrossFit Moorabbin,,,,,0,,,319.67,264.55,507.06,476.2,50,5,8,338,19,430,2,146,16,294,52,503,18670
5,5,32.0,Josh Bridges,http://games.crossfit.com/athlete/124483,1,65.0,6 (103),103,0,173.0,1 (365),6 (430),33 (137),62 (280),1 (07:15),16,,,,,,,,,,,,,,,6,1,365,6,430,33,137,62,280,1,435,124483
6,6,26.0,Mathew Fraser,http://games.crossfit.com/athlete/153604,1,67.0,7 (110),110,0,190.0,35 (324),3 (430),8 (141),44 (284),20 (08:06),16,Champlain Valley CrossFit,Champlain Valley CrossFit,,,,,,,,375.0,315.0,500.0,485.0,50,7,35,324,3,430,8,141,44,284,20,486,153604
7,7,25.0,Patrick Vellner,http://games.crossfit.com/athlete/158264,1,69.69,8 (117),117,0,190.0,35 (324),12 (430),5 (142),19 (293),46 (08:20),16,,CrossFit Plateau,,,,,389,,,330.0,260.0,525.0,415.0,64,8,35,324,12,430,5,142,19,293,46,500,158264
8,8,23.0,Björgvin Karl Guðmundsson,http://games.crossfit.com/athlete/81616,1,70.08,9 (143),143,0,185.0,35 (324),4 (430),18 (140),48 (283),38 (08:16),16,,CrossFit Hengill,,,,,,,,335.0,286.0,520.0,445.0,65,9,35,324,4,430,18,140,48,283,38,496,81616
9,9,29.0,Rob Forte,http://games.crossfit.com/athlete/7285,1,68.5,10 (167),167,0,194.0,13 (329),71 (427),70 (131),7 (307),6 (07:42),16,Reebok CrossFit Frankston,Reebok CrossFit Frankston,,,,,472,,,325.0,270.0,495.0,418.0,53,10,13,329,71,427,70,131,7,307,6,462,7285
10,10,26.0,Jacob Heppner,http://games.crossfit.com/athlete/199938,1,68.0,11 (186),186,0,192.0,2 (350),70 (427),13 (140),91 (276),10 (07:53),16,Cobra 1,Cobra Command CrossFit,,,,,,,,,,,,,11,2,350,70,427,13,140,91,276,10,473,199938
11,11,23.0,Rasmus Wisbech Andersen,http://games.crossfit.com/athlete/8896,1,72.0,12 (270),270,0,208.0,21 (325),21 (430),69 (131),12 (296),147 (08:45),16,Invictus,CrossFit Invictus,,,,,0,,,335.0,280.0,485.0,455.0,0,12,21,325,21,430,69,131,12,296,147,525,8896
12,12,23.0,Zak Carchedi,http://games.crossfit.com/athlete/96973,1,69.0,13 (302),302,0,184.0,66 (318),81 (427),28 (138),113 (275),14 (08:01),16,Cobra 1,Cobra Command CrossFit,,,,,,,,340.0,275.0,515.0,475.0,40,13,66,318,81,427,28,138,113,275,14,481,96973
13,13,23.0,Alex Vigneault,http://games.crossfit.com/athlete/180541,1,71.0,14 (305),305,0,205.0,48 (321),9 (430),19 (140),13 (295),216 (08:55),16,CrossFit Quebec City 2,CrossFit Quebec City,,,,,457,,,360.0,300.0,600.0,455.0,72,14,48,321,9,430,19,140,13,295,216,535,180541
