Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year
0,Jamie Greene,http://games.crossfit.com/athlete/264512,1 (27),0,0,0,0,0,3 (347),12 (430),3 (147),6 (305),3 (07:43),16
0,Samantha Briggs,http://games.crossfit.com/athlete/2536,2 (30),0,0,0,0,0,2 (348),22 (430),1 (158),4 (308),1 (07:36),16
0,Kara Webb,http://games.crossfit.com/athlete/2942,3 (48),0,0,0,0,0,20 (319),1 (430),7 (139),14 (289),6 (08:05),16
0,Ragnheiður Sara Sigmundsdottir,http://games.crossfit.com/athlete/8859,4 (64),0,0,0,0,0,14 (325),3 (430),22 (130),2 (316),23 (08:26),16
0,Michele Letendre,http://games.crossfit.com/athlete/3407,5 (67),0,0,0,0,0,22 (318),10 (430),2 (147),28 (279),5 (08:02),16
0,Carol-Ann Reason-Thibault,http://games.crossfit.com/athlete/103389,6 (94),0,0,0,0,0,42 (307),14 (430),9 (138),3 (314),26 (08:29),16
0,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,7 (119),0,0,0,0,0,10 (330),4 (430),11 (136),90 (263),4 (07:50),16
0,Emily Bridgers,http://games.crossfit.com/athlete/4925,8 (120),0,0,0,0,0,1 (354),8 (430),29 (129),74 (266),8 (08:09),16
0,Alexis Johnson,http://games.crossfit.com/athlete/208293,9 (127),0,0,0,0,0,18 (320),27 (430),24 (130),33 (276),25 (08:27),16
0,Annie Thorisdottir,http://games.crossfit.com/athlete/18588,10 (128),0,0,0,0,0,6 (340),21 (430),5 (141),7 (304),89 (08:58),16
0,Stacie Tovar,http://games.crossfit.com/athlete/5512,11 (136),0,0,0,0,0,20 (319),15 (430),13 (134),35 (275),53 (08:46),16
0,Emma McQuaid,http://games.crossfit.com/athlete/239442,12 (144),0,0,0,0,0,46 (305),33 (430),52 (127),5 (305),8 (08:09),16
0,Kristin Holte,http://games.crossfit.com/athlete/120480,13 (161),0,0,0,0,0,24 (317),35 (430),21 (131),79 (265),2 (07:41),16
0,Katrin Tanja Davidsdottir,http://games.crossfit.com/athlete/55121,14 (164),0,0,0,0,0,4 (345),9 (430),109 (120),22 (282),20 (08:24),16
0,Julie Abildgaard,http://games.crossfit.com/athlete/275395,15 (175),0,0,0,0,0,7 (338),30 (430),114 (120),1 (318),23 (08:26),16
0,Caroline Dardini,http://games.crossfit.com/athlete/117591,16 (181),0,0,0,0,0,14 (325),86 (427),44 (127),31 (277),6 (08:05),16
0,Kari Pearce,http://games.crossfit.com/athlete/305891,17 (187),0,0,0,0,0,49 (304),110 (426),4 (142),13 (291),11 (08:11),16
0,Carleen Mathews,http://games.crossfit.com/athlete/16973,18 (196),0,0,0,0,0,42 (307),26 (430),61 (125),19 (286),48 (08:42),16
0,Brooke Wells,http://games.crossfit.com/athlete/168305,19 (256),0,0,0,0,0,49 (304),2 (430),48 (127),12 (291),145 (09:13),16
0,Anna Fragkou,http://games.crossfit.com/athlete/252900,20 (268),0,0,0,0,0,105 (294),29 (430),52 (127),8 (300),74 (08:54),16
0,Kristi Eramo,http://games.crossfit.com/athlete/310687,21 (276),0,0,0,0,0,49 (304),40 (430),92 (122),44 (272),51 (08:44),16
0,Tasia Percevecz,http://games.crossfit.com/athlete/149475,22 (281),0,0,0,0,0,49 (304),74 (428),13 (134),93 (262),52 (08:45),16
0,Cassidy Lance,http://games.crossfit.com/athlete/123582,23 (309),0,0,0,0,0,90 (297),46 (430),13 (134),140 (258),20 (08:24),16
0,Tamarind Robinson,http://games.crossfit.com/athlete/259885,24 (313),0,0,0,0,0,39 (308),124 (426),40 (128),30 (278),80 (08:56),16
0,Sarah Scholl,http://games.crossfit.com/athlete/23578,25 (328),0,0,0,0,0,8 (336),49 (430),34 (129),75 (265),162 (09:16),16
0,Oddrun Eik Gylfadottir,http://games.crossfit.com/athlete/96750,26 (335),0,0,0,0,0,46 (305),83 (427),83 (122),52 (269),71 (08:52),16
0,Kelley Jackson,http://games.crossfit.com/athlete/12336,27 (336),0,0,0,0,0,18 (320),111 (426),24 (130),165 (257),18 (08:22),16
0,Chelsey Grigsby,http://games.crossfit.com/athlete/25320,28 (342),0,0,0,0,0,64 (301),38 (430),84 (122),125 (259),31 (08:34),16
0,Alea Helmick,http://games.crossfit.com/athlete/134076,29 (348),0,0,0,0,0,29 (313),20 (430),152 (117),46 (271),101 (09:01),16
0,Margaux Alvarez,http://games.crossfit.com/athlete/3678,30 (349),0,0,0,0,0,76 (299),37 (430),77 (124),70 (266),89 (08:58),16
0,Lauren Fisher,http://games.crossfit.com/athlete/19117,31 (351),0,0,0,0,0,105 (294),13 (430),184 (116),18 (288),31 (08:34),16
0,Sarabeth Phillips,http://games.crossfit.com/athlete/36285,32 (396),0,0,0,0,0,139 (291),39 (430),17 (132),73 (266),128 (09:10),16
0,Mekenzie Riley,http://games.crossfit.com/athlete/93497,33 (418),0,0,0,0,0,49 (304),55 (430),219 (116),54 (269),41 (08:38),16
0,Kirsten Pedri,http://games.crossfit.com/athlete/10760,34 (420),0,0,0,0,0,98 (295),85 (427),84 (122),36 (275),117 (09:07),16
0,Chyna Cho,http://games.crossfit.com/athlete/27975,35 (431),0,0,0,0,0,76 (299),109 (426),101 (120),56 (269),89 (08:58),16
0,Kristin Miller,http://games.crossfit.com/athlete/3215,36 (444),0,0,0,0,0,68 (300),148 (425),48 (127),149 (258),31 (08:34),16
0,Kristine Andali,http://games.crossfit.com/athlete/109250,37 (445),0,0,0,0,0,155 (290),51 (430),99 (120),39 (274),101 (09:01),16
0,Alethea Boon,http://games.crossfit.com/athlete/235218,38 (446),0,0,0,0,0,13 (326),264 (423),6 (140),94 (262),69 (08:51),16
0,Chelsey Hughes,http://games.crossfit.com/athlete/189706,39 (449),0,0,0,0,0,32 (312),35 (430),150 (117),58 (268),174 (09:18),16
0,Martina Barbaro,http://games.crossfit.com/athlete/7290,40 (476),0,0,0,0,0,11 (329),187 (424),178 (116),23 (282),77 (08:55),16
0,Brista Mayfield,http://games.crossfit.com/athlete/5785,41 (482),0,0,0,0,0,46 (305),84 (427),24 (130),112 (260),216 (09:25),16
0,Emily Abbott,http://games.crossfit.com/athlete/180250,42 (495),0,0,0,0,0,164 (289),44 (430),67 (124),71 (266),149 (09:14),16
0,Brittany Chestnut,http://games.crossfit.com/athlete/294332,43 (496),0,0,0,0,0,32 (312),158 (425),79 (123),215 (253),12 (08:12),16
0,Sara Armanius,http://games.crossfit.com/athlete/148444,44 (508),0,0,0,0,0,128 (292),46 (430),252 (115),10 (296),72 (08:53),16
0,Brooke Ence,http://games.crossfit.com/athlete/62554,45 (522),0,0,0,0,0,184 (287),107 (427),45 (127),121 (259),65 (08:50),16
0,Thuridur Erla Helgadottir,http://games.crossfit.com/athlete/19501,46 (524),0,0,0,0,0,26 (314),28 (430),94 (121),47 (271),329 (09:40),16
0,Cheryl Nasso,http://games.crossfit.com/athlete/9759,47 (527),0,0,0,0,0,36 (311),258 (423),157 (117),15 (289),61 (08:49),16
0,Justine Beath,http://games.crossfit.com/athlete/60656,48 (557),0,0,0,0,0,139 (291),130 (426),109 (120),99 (261),80 (08:56),16
0,Maude Charron,http://games.crossfit.com/athlete/123908,49 (564),0,0,0,0,0,164 (289),6 (430),20 (131),139 (258),235 (09:28),16
0,Jennifer Smith,http://games.crossfit.com/athlete/45491,49 (564),0,0,0,0,0,57 (303),23 (430),349 (114),63 (267),72 (08:53),16
0,Joey Kimdon,http://games.crossfit.com/athlete/259327,51 (573),0,0,0,0,0,22 (318),259 (423),37 (129),127 (259),128 (09:10),16
0,Mikaela Norman,http://games.crossfit.com/athlete/143139,52 (585),0,0,0,0,0,9 (333),146 (425),390 (113),21 (283),19 (08:23),16
0,Anna Rode,http://games.crossfit.com/athlete/5124,52 (585),0,0,0,0,0,139 (291),160 (425),70 (124),103 (261),113 (09:06),16
0,Keston Mendoza,http://games.crossfit.com/athlete/179838,54 (587),0,0,0,0,0,76 (299),59 (430),157 (117),141 (258),154 (09:15),16
0,Whitney Heuser,http://games.crossfit.com/athlete/10614,55 (598),0,0,0,0,0,60 (302),72 (428),77 (124),180 (255),209 (09:24),16
0,Anna Tunnicliffe,http://games.crossfit.com/athlete/9440,56 (606),0,0,0,0,0,24 (317),186 (424),31 (129),268 (249),97 (08:59),16
0,Megan Scales,http://games.crossfit.com/athlete/126964,57 (615),0,0,0,0,0,117 (293),112 (426),266 (115),43 (272),77 (08:55),16
0,Tiffany Hendrickson,http://games.crossfit.com/athlete/51106,58 (629),0,0,0,0,0,49 (304),87 (427),82 (123),227 (252),184 (09:20),16
0,Rachel Garibay,http://games.crossfit.com/athlete/279929,59 (630),0,0,0,0,0,194 (286),19 (430),63 (125),38 (275),316 (09:39),16
0,Kaitlyn Brierley,http://games.crossfit.com/athlete/96114,60 (636),0,0,0,0,0,90 (297),30 (430),229 (115),84 (264),203 (09:23),16
0,Emmy Simpkins,http://games.crossfit.com/athlete/25190,61 (637),0,0,0,0,0,105 (294),229 (424),46 (127),41 (272),216 (09:25),16
0,Melisa Alonso,http://games.crossfit.com/athlete/35398,62 (649),0,0,0,0,0,98 (295),196 (424),101 (120),219 (252),35 (08:35),16
0,Courtney Walker,http://games.crossfit.com/athlete/21024,63 (650),0,0,0,0,0,128 (292),150 (425),12 (135),186 (255),174 (09:18),16
0,Elyse Kile,http://games.crossfit.com/athlete/505934,64 (690),0,0,0,0,0,274 (278),41 (430),157 (117),42 (272),176 (09:19),16
0,Kaleena Ladeairous,http://games.crossfit.com/athlete/11215,65 (695),0,0,0,0,0,57 (303),265 (423),119 (119),51 (269),203 (09:23),16
0,Christy Adkins,http://games.crossfit.com/athlete/9121,66 (696),0,0,0,0,0,68 (300),117 (426),329 (114),141 (258),41 (08:38),16
0,Laura Hosier,http://games.crossfit.com/athlete/107627,67 (702),0,0,0,0,0,42 (307),237 (424),290 (114),29 (278),104 (09:02),16
0,Jamie Hagiya,http://games.crossfit.com/athlete/196834,68 (706),0,0,0,0,0,90 (297),18 (430),58 (126),416 (243),124 (09:09),16
0,Megan Lovegrove,http://games.crossfit.com/athlete/51125,69 (709),0,0,0,0,0,26 (314),151 (425),122 (119),282 (249),128 (09:10),16
0,Whitney Gelin,http://games.crossfit.com/athlete/110918,70 (721),0,0,0,0,0,239 (282),46 (430),175 (116),201 (253),60 (08:48),16
0,Camilla Salomonsson Hellman,http://games.crossfit.com/athlete/2088,71 (729),0,0,0,0,0,436 (272),42 (430),151 (117),26 (280),74 (08:54),16
