,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups
0,24,Jamie Greene,http://games.crossfit.com/athlete/264512,1 (27),0,64.17,0,0,132 lb,3 (347),12 (430),3 (147),6 (305),3 (07:43),16,CrossFit Yas,CrossFit Yas,--,--,--,--,--,--,--,--,--,--,--,--
1,34,Samantha Briggs,http://games.crossfit.com/athlete/2536,2 (30),0,66.93,0,0,135 lb,2 (348),22 (430),1 (158),4 (308),1 (07:36),16,CrossFit Black Five,CrossFit Black Five,2:35,0:00,1:35,0:00,--,0:00,0:00,100 kg,82 kg,175 kg,125 kg,49
2,26,Kara Webb,http://games.crossfit.com/athlete/2942,3 (48),0,63.78,0,0,154 lb,20 (319),1 (430),7 (139),14 (289),6 (08:05),16,CrossFit Roar,CrossFit Roar,2:33,0:00,0:00,0:00,0,0:00,20:10,115 kg,93 kg,155 kg,150 kg,62
3,23,Ragnheiður Sara Sigmundsdottir,http://games.crossfit.com/athlete/8859,4 (64),0,67.32,0,0,69 kg,14 (325),3 (430),22 (130),2 (316),23 (08:26),16,Team CrossFit Sudurnes,CrossFit Sudurnes,0:00,9:26,2:03,0:00,--,0:00,22:32,110 kg,90 kg,155 kg,135 kg,36
4,30,Michele Letendre,http://games.crossfit.com/athlete/3407,5 (67),0,61.0,0,0,137 lb,22 (318),10 (430),2 (147),28 (279),5 (08:02),16,,Deka CrossFit,2:10,8:19,1:59,0:00,0,0:00,0:00,227 lb,192 lb,315 lb,300 lb,50
5,28,Carol-Ann Reason-Thibault,http://games.crossfit.com/athlete/103389,6 (94),0,64.96,0,0,145 lb,42 (307),14 (430),9 (138),3 (314),26 (08:29),16,CrossFit Quebec City 2,CrossFit Quebec City,2:41,0:00,1:25,0:00,0,0:00,22:00,225 lb,175 lb,400 lb,300 lb,45
6,27,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,7 (119),0,62.0,0,0,130 lb,10 (330),4 (430),11 (136),90 (263),4 (07:50),16,Roots,CrossFit Roots,2:04,7:20,1:40,0:00,0,1:20,0:00,230 lb,190 lb,300 lb,310 lb,80
7,28,Emily Bridgers,http://games.crossfit.com/athlete/4925,8 (120),0,61.0,0,0,134 lb,1 (354),8 (430),29 (129),74 (266),8 (08:09),16,CrossFit Terminus,CrossFit Terminus,0:00,0:00,0:00,0:00,0,0:00,0:00,225 lb,180 lb,330 lb,275 lb,0
8,25,Alexis Johnson,http://games.crossfit.com/athlete/208293,9 (127),0,62.0,0,0,141 lb,18 (320),27 (430),24 (130),33 (276),25 (08:27),16,AllSport CrossFit,AllSport CrossFit,--,7:51,1:16,--,440,1:15,0:00,227 lb,175 lb,342 lb,280 lb,--
9,26,Annie Thorisdottir,http://games.crossfit.com/athlete/18588,10 (128),0,66.93,0,0,152 lb,6 (340),21 (430),5 (141),7 (304),89 (08:58),16,CrossFit Reykjavik,Reebok CrossFit Reykjavík,2:37,0:00,1:23,15:07,0,0:00,0:00,93 kg,71 kg,165 kg,125 kg,0
10,31,Stacie Tovar,http://games.crossfit.com/athlete/5512,11 (136),0,65.0,0,0,145 lb,20 (319),15 (430),13 (134),35 (275),53 (08:46),16,CrossFit Omaha,CrossFit Omaha,2:22,8:25,1:35,21:22,384,1:25,21:45,228 lb,180 lb,335 lb,305 lb,0
