Unnamed: 0,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Score,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score
0,24,Jamie Greene,http://games.crossfit.com/athlete/264512,1 (27),0,64.17,0,264512,132.0,3 (347),12 (430),3 (147),6 (305),3 (07:43),16,CrossFit Yas,CrossFit Yas,,,,,,,,,,,,,1,27,3,347,12,430,3,147,6,305,3,463
1,34,Samantha Briggs,http://games.crossfit.com/athlete/2536,2 (30),0,66.93,0,2536,135.0,2 (348),22 (430),1 (158),4 (308),1 (07:36),16,CrossFit Black Five,CrossFit Black Five,155.0,,95.0,,,,,220.46,180.78,385.81,275.58,49,2,30,2,348,22,430,1,158,4,308,1,456
2,26,Kara Webb,http://games.crossfit.com/athlete/2942,3 (48),0,63.78,0,2942,154.0,20 (319),1 (430),7 (139),14 (289),6 (08:05),16,CrossFit Roar,CrossFit Roar,153.0,,,,0,,1210.0,253.53,205.03,341.72,330.69,62,3,48,20,319,1,430,7,139,14,289,6,485
3,23,Ragnheiður Sara Sigmundsdottir,http://games.crossfit.com/athlete/8859,4 (64),0,67.32,0,8859,152.12,14 (325),3 (430),22 (130),2 (316),23 (08:26),16,Team CrossFit Sudurnes,CrossFit Sudurnes,,566.0,123.0,,,,1352.0,242.51,198.42,341.72,297.62,36,4,64,14,325,3,430,22,130,2,316,23,506
4,30,Michele Letendre,http://games.crossfit.com/athlete/3407,5 (67),0,61.0,0,3407,137.0,22 (318),10 (430),2 (147),28 (279),5 (08:02),16,,Deka CrossFit,130.0,499.0,119.0,,0,,,227.0,192.0,315.0,300.0,50,5,67,22,318,10,430,2,147,28,279,5,482
5,28,Carol-Ann Reason-Thibault,http://games.crossfit.com/athlete/103389,6 (94),0,64.96,0,103389,145.0,42 (307),14 (430),9 (138),3 (314),26 (08:29),16,CrossFit Quebec City 2,CrossFit Quebec City,161.0,,85.0,,0,,1320.0,225.0,175.0,400.0,300.0,45,6,94,42,307,14,430,9,138,3,314,26,509
6,27,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,7 (119),0,62.0,0,8404,130.0,10 (330),4 (430),11 (136),90 (263),4 (07:50),16,Roots,CrossFit Roots,124.0,440.0,100.0,,0,80.0,,230.0,190.0,300.0,310.0,80,7,119,10,330,4,430,11,136,90,263,4,470
7,28,Emily Bridgers,http://games.crossfit.com/athlete/4925,8 (120),0,61.0,0,4925,134.0,1 (354),8 (430),29 (129),74 (266),8 (08:09),16,CrossFit Terminus,CrossFit Terminus,,,,,0,,,225.0,180.0,330.0,275.0,0,8,120,1,354,8,430,29,129,74,266,8,489
8,25,Alexis Johnson,http://games.crossfit.com/athlete/208293,9 (127),0,62.0,0,208293,141.0,18 (320),27 (430),24 (130),33 (276),25 (08:27),16,AllSport CrossFit,AllSport CrossFit,,471.0,76.0,,440,75.0,,227.0,175.0,342.0,280.0,,9,127,18,320,27,430,24,130,33,276,25,507
9,26,Annie Thorisdottir,http://games.crossfit.com/athlete/18588,10 (128),0,66.93,0,18588,152.0,6 (340),21 (430),5 (141),7 (304),89 (08:58),16,CrossFit Reykjavik,Reebok CrossFit Reykjavík,157.0,,83.0,907.0,0,,,205.03,156.53,363.76,275.58,0,10,128,6,340,21,430,5,141,7,304,89,538
10,31,Stacie Tovar,http://games.crossfit.com/athlete/5512,11 (136),0,65.0,0,5512,145.0,20 (319),15 (430),13 (134),35 (275),53 (08:46),16,CrossFit Omaha,CrossFit Omaha,142.0,505.0,95.0,1282.0,384,85.0,1305.0,228.0,180.0,335.0,305.0,0,11,136,20,319,15,430,13,134,35,275,53,526
11,26,Emma McQuaid,http://games.crossfit.com/athlete/239442,12 (144),0,64.96,0,239442,139.0,46 (305),33 (430),52 (127),5 (305),8 (08:09),16,8020 Black,CrossFit 8020,147.0,,132.0,,,,,238.1,182.98,352.74,275.58,43,12,144,46,305,33,430,52,127,5,305,8,489
12,30,Kristin Holte,http://games.crossfit.com/athlete/120480,13 (161),0,63.78,0,120480,132.0,24 (317),35 (430),21 (131),79 (265),2 (07:41),16,CrossFit Oslo,CrossFit Oslo,144.0,,115.0,1096.0,406,61.0,1170.0,209.44,163.14,297.62,264.55,42,13,161,24,317,35,430,21,131,79,265,2,461
13,22,Katrin Tanja Davidsdottir,http://games.crossfit.com/athlete/55121,14 (164),0,66.54,0,55121,152.0,4 (345),9 (430),109 (120),22 (282),20 (08:24),16,,CrossFit New England,138.0,556.0,88.0,,454,65.0,,225.0,192.0,315.0,255.0,,14,164,4,345,9,430,109,120,22,282,20,504
14,28,Julie Abildgaard,http://games.crossfit.com/athlete/275395,15 (175),0,68.5,0,275395,160.0,7 (338),30 (430),114 (120),1 (318),23 (08:26),16,Team Crossfit Copenhagen 1,CrossFit Nordvest,,,,,,,,,,,,,15,175,7,338,30,430,114,120,1,318,23,506
15,23,Caroline Dardini,http://games.crossfit.com/athlete/117591,16 (181),0,61.0,0,117591,124.0,14 (325),86 (427),44 (127),31 (277),6 (08:05),16,TEAM CrossFit Love,CrossFit Love,138.0,,,,,,,215.0,175.0,,59.0,1,16,181,14,325,86,427,44,127,31,277,6,485
16,26,Kari Pearce,http://games.crossfit.com/athlete/305891,17 (187),0,63.0,0,305891,139.0,49 (304),110 (426),4 (142),13 (291),11 (08:11),16,CrossFit SPOT,CrossFit Spot,,,,,,,,214.0,185.0,365.0,310.0,,17,187,49,304,110,426,4,142,13,291,11,491
17,32,Carleen Mathews,http://games.crossfit.com/athlete/16973,18 (196),0,62.0,0,16973,138.0,42 (307),26 (430),61 (125),19 (286),48 (08:42),16,CFSH,CrossFit Saint Helens,188.0,,140.0,1560.0,344,81.0,1374.0,205.0,165.0,385.0,285.0,30,18,196,42,307,26,430,61,125,19,286,48,522
18,20,Brooke Wells,http://games.crossfit.com/athlete/168305,19 (256),0,66.0,0,168305,156.0,49 (304),2 (430),48 (127),12 (291),145 (09:13),16,,CrossFit Fringe,126.0,,73.0,,,,,255.0,210.0,405.0,345.0,,19,256,49,304,2,430,48,127,12,291,145,553
19,25,Anna Fragkou,http://games.crossfit.com/athlete/252900,20 (268),0,62.99,0,252900,138.89,105 (294),29 (430),52 (127),8 (300),74 (08:54),16,,Gazi CrossFit,,,,,,,,,,,,,20,268,105,294,29,430,52,127,8,300,74,534
20,27,Kristi Eramo,http://games.crossfit.com/athlete/310687,21 (276),0,62.0,0,310687,128.0,49 (304),40 (430),92 (122),44 (272),51 (08:44),16,Four Barrel CrossFit East,Four Barrel CrossFit East,149.0,,107.0,,,,,210.0,165.0,310.0,295.0,,21,276,49,304,40,430,92,122,44,272,51,524
21,25,Tasia Percevecz,http://games.crossfit.com/athlete/149475,22 (281),0,65.0,0,149475,153.0,49 (304),74 (428),13 (134),93 (262),52 (08:45),16,CrossFit Free,CrossFit Free,149.0,,84.0,,,,,240.0,205.0,,308.0,60,22,281,49,304,74,428,13,134,93,262,52,525
22,28,Cassidy Lance,http://games.crossfit.com/athlete/123582,23 (309),0,63.0,0,123582,139.0,90 (297),46 (430),13 (134),140 (258),20 (08:24),16,,CrossFit WaterSide,150.0,450.0,90.0,,,,,215.0,160.0,295.0,275.0,60,23,309,90,297,46,430,13,134,140,258,20,504
23,23,Tamarind Robinson,http://games.crossfit.com/athlete/259885,24 (313),0,68.11,0,259885,165.35,39 (308),124 (426),40 (128),30 (278),80 (08:56),16,CrossFit Yas,CrossFit Yas,,,,,,,,,,,,,24,313,39,308,124,426,40,128,30,278,80,536
24,32,Sarah Scholl,http://games.crossfit.com/athlete/23578,25 (328),0,68.0,0,23578,145.0,8 (336),49 (430),34 (129),75 (265),162 (09:16),16,CrossFit Stamford,CrossFit Stamford,125.0,491.0,110.0,1084.0,428,58.0,1110.0,200.0,155.0,305.0,295.0,60,25,328,8,336,49,430,34,129,75,265,162,556
25,27,Oddrun Eik Gylfadottir,http://games.crossfit.com/athlete/96750,26 (335),0,64.17,0,96750,128.0,46 (305),83 (427),83 (122),52 (269),71 (08:52),16,Team Crossfit Copenhagen 1,CrossFit Nordvest,,,,,,65.0,1260.0,187.39,149.91,297.62,291.01,63,26,335,46,305,83,427,83,122,52,269,71,532
26,32,Kelley Jackson,http://games.crossfit.com/athlete/12336,27 (336),0,62.0,0,12336,124.0,18 (320),111 (426),24 (130),165 (257),18 (08:22),16,CrossFit 417,CrossFit 417,122.0,464.0,92.0,987.0,418,72.0,,215.0,165.0,325.0,275.0,61,27,336,18,320,111,426,24,130,165,257,18,502
27,26,Chelsey Grigsby,http://games.crossfit.com/athlete/25320,28 (342),0,65.0,0,25320,135.0,64 (301),38 (430),84 (122),125 (259),31 (08:34),16,C Street Crossfit,C Street CrossFit,,,,,,,,0.0,0.0,0.0,0.0,0,28,342,64,301,38,430,84,122,125,259,31,514
28,29,Alea Helmick,http://games.crossfit.com/athlete/134076,29 (348),0,68.0,0,134076,148.0,29 (313),20 (430),152 (117),46 (271),101 (09:01),16,CrossFit Revamped,CrossFit Revamped,145.0,,118.0,,460,,,225.0,185.0,340.0,305.0,50,29,348,29,313,20,430,152,117,46,271,101,541
29,31,Margaux Alvarez,http://games.crossfit.com/athlete/3678,30 (349),0,67.0,0,3678,148.0,76 (299),37 (430),77 (124),70 (266),89 (08:58),16,,ZooTown CrossFit,172.0,478.0,80.0,1182.0,356,,1307.0,225.0,180.0,375.0,275.0,45,30,349,76,299,37,430,77,124,70,266,89,538
